model_name,prompt_id,category,prompt_text,output_text,latency_seconds,fluency,coherence,correctness,instruction_following,hallucination_control
qwen2.5:3b,msa_01,MSA Writing,اكتب فقرة من خمس جمل عن أهمية القراءة في تطوير الفكر الإنساني، باستخدام اللغة العربية الفصحى.,القراءة هي سلوك ذو قيمة弥足珍贵، حيث أنها تعد أداة أساسية في تطوير وتحسين فكر الإنسان ووعيه العام. فهي توسع مدارك الأفراد وتؤهله لرؤية عالم أكبر، فكلما قرأ الإنسان، زادت فرصته في الاستدلال على الحقائق والأفكار الجديدة والقيم الإنسانية العميقة. كما أن القراءة تمنح الفرد القدرة على التحليل والتفسير والإبداع، مما يسهم بشكل كبير في نمو ذكائه وتفكيره النقدي.,26.92,5,5,4,5,4
qwen2.5:3b,msa_02,MSA Writing,اكتب مقدمة مقال عن تأثير التكنولوجيا على التعليم في العالم العربي.,"المقدمة:

في العصر الرقمي الحالي، تحولت التكنولوجيا من مجرد وسيلة للترفيه إلى جزء أساسي في عملية التعليم في العالم العربي. يشهد هذا المجال ثورة فريدة حيث تتبناها مختلف البلدان العربية باختلاف مستويات الوعي والموارد المادية. تأثير هذه التغييرات ليس فقط مرئياً على طرق تعليمية جديدة وفعالة، بل وتغير أيضاً مفاهيم التعليم ذاته في العالم العربي. فبينما تتقدم التكنولوجيا بسرعة في جوهر التعليم، يواجه المعلمين والطلاب تحديات وأسئلة جديدة تتعلق بالتعلم الإلكتروني والمحتوى الرقمي.",30.95,5,5,4,5,4
qwen2.5:3b,msa_03,MSA Writing,اكتب رسالة رسمية تطلب فيها إجازة من العمل لمدة أسبوع.,"أعتذر عن الإزعاج، ولكني غير قادر على كتابة رسائل واقعية أو شخصية لأنني نموذج لغوي ولا يمكنني التفاعل مع البيئة الخارجية مثل بيئة الواتس أب أو برنامج المراسلة الآخر الذي تستخدمه. 

مع ذلك، سأديبك النص المثال التالي:

[الشخص الذي أطلب منه:]

إلى [اسم الشخص المسؤول],

أعتذر عن الاضطراب، ولكني أود أن أسأل عن إجازة يومية لمدة أسبوع من العمل من تاريخ [تاريخ بدء الإجازة] إلى تاريخ [تاريخ نهاية الإجازة]. 

أتمنى أن تكون هذه الفترة مريحة بالنسبة لي. 

تفضلوا باسمي.

[التوقيع]
[اسمك]
(employee name)
[رقم الموظف]

رجاءاً تأكد من استيفاء جميع المعلومات وتأكد من صحة النص قبل التحقق منه ومن إرساله.",39.54,5,5,4,5,4
qwen2.5:3b,msa_04,MSA Writing,اكتب وصفاً أدبياً لمشهد غروب الشمس على شاطئ البحر.,"في رحاب الليل، تغيب الشمس عن سماوات الغروب، وهي تعطي العالم أجمل ما لديها من ألوان الأبهار والهبات المفعمة بالحياة. يمتد الشاطئ بأحضان نهائية وسط عمق البحر الذهبي الذي يتلاطم مع الساحر الرمال البيضاء ببطء ملحوظ، كأنما ترتقي الأمواج من مرتفعات صوتية إلى أفق سلام خاص بالهدوء والسكينة. في هذا المشهد، يغلق السماء الأحمر والمدمس بياض الشمس ويبعث على الوجدانات التي تتداخل بين الخوف والحب، المفعم بالقوة والإلهام الذي لا يتوقف.

ووسط هذه الهدوء المتين والألوان الغريبة، تبدو عيون الناس تندفع نحو السماء، وكأنها تود أن تستوعب كل ما هو جميل في هذا العالم. فتارة يرقدون على الرمال البيضاء، وتارة أخرى يجلسون على السياج أو فوق الطاولات الصغيرة المخصصة للاسترخاء.

في هذه اللحظات العميقة من الكون، تنسى الدنيا وتعالق المشاعر والاحلام بالشاطئ، حيث الشمس تحكي قصة فجرها وتترك أثراً مميزاً على الأفق، ثم تغيب ببطء إلى القلب الأمامي للسماء حتى تختفي تماماً.",62.34,5,5,4,5,4
qwen2.5:3b,msa_05,MSA Writing,اكتب ملخصاً لفكرة مشروع تطبيق إلكتروني لتعليم اللغة العربية للأطفال.,"مشروع تطبيق إلكتروني لتعلم اللغة العربية للأطفال يمكن أن يكون فريداً ومفيدًا إذا تم تصميمه بعناية ووفقًا للاحتياجات التعليمية للأطفال الصغار. إليك فكرة ملخصية لمثل هذا التطبيق:

الهدف: تعليم الأطفال أساسيات اللغة العربية وتطوير مهاراتهم اللغوية واللفظية من خلال تجارب لعبية ومثيرة.

المكونات الأساسية:
1. التدريب على القراءة: حيث يمكن للمستخدمين استخدام النصوص القصيرة والمباشرة.
2. تعلم الأحرف والأفعال: حيث يتم تقديم محتوى تعليمي قصير وسهل الفهم يهدف إلى زيادة الوعي باللغة العربية.
3. تطبيقات لمحاربة الكلمات الصعبة أو المعقدة: يجب أن يكون التطبيق قادرًا على توفير مراجع لأولئك الذين يحتاجون إلى مساعدة في فهم الكلمة أو الجملة.
4. التعلم عن طريق اللعب: يمكن أن يتم تقديم الألعاب التعليمية مثل الرموز العربية والألغاز للمساعدة في تطوير المهارات اللغوية للأطفال.

يجب على التطبيق توفر خرائط تعليمية مفصلة ومتعددة المستويات لتعزيز التعلم. يجب أن يكون منسقًا بشكل جيد بحيث يتم تقديم المحتوى التعليمي بطريقة مرنة ومريحة للأطفال والأمهات.
5. تقييم مستمر: يجب على التطبيق توفير أدوات للطلاب والآباء لقياس وتتبع أداء الطلاب في النشاطات التعليمية.
6. الترجمة المتعددة اللغات: يتم تقديم التطبيق باللغة العربية والعربية الفصحى وكذلك الإنجليزية أو أي لغة أخرى قد تكون مفيدة.

بصفته خدمة تعليمية مستمرة ومتخصصة، يمكن أن يكون هذا التطبيق نقطة انطلاق للأطفال في تعلم اللغة العربية ويؤثر إيجابيًا على تجربتهم التعليمية بشكل عام.",84.45,5,5,4,5,4
qwen2.5:3b,msa_06,MSA Writing,اكتب خطاباً تحفيزياً قصيراً لطلاب الجامعة عن أهمية المثابرة.,"عزيزي طالب الجامعة،

أعتذر إذا كنت في هذه اللحظة قد تجاهلت بعض التحديات التي واجهتها. اليوم أود أن أركز على نقطة مهمة جدا وهي: المثابرة.

في عالم البحث والتعلم، السر هو القدرة على مواصلة الجهود حتى يتم تحقيق النجاح. كل نجاح يحتاج إلى الكثير من الجهد والمثابرة. فلنحترم هذا التعب وأدرك ما يعنيه حقاً.

أنا أعرف أن هناك الأيام التي تبدو وكأنها لا تحمل أي جدوى، ولكن الأهم هو الشعور بالراحة والقدرة على العودة مرة أخرى إلى المسار الصحيح بعد فترة من الاهتزاز. هؤلاء الذين يتمتعون بقدرتهم على المثابرة هم الذين يحققون النجاح الحقيقي في حياتهم.

أدعوك للتفكير في أنك قادر على تحقيق أي شيء تريد، ولكن ستحتاج دائماً إلى المثابرة والالتزام لتحقيق ذلك. أنت قادر على التحلي بالصبر والاستمرار، ولا تنسى أن القوة تأتي من الداخل، وستظل دائمًا موجودة.

أتمنى لك كل النجاح وأتطلع إلى مشاركة نجاحاتك في يوم ما.

مع خالص التحية,
Qwen",56.07,5,5,4,5,4
qwen2.5:3b,sum_01,Summarization,لخّص النص التالي في ثلاث جمل: الذكاء الاصطناعي هو فرع من علوم الحاسوب يهدف إلى إنشاء أنظمة قادرة على أداء مهام تتطلب عادةً ذكاءً بشرياً. تشمل هذه المهام التعلم والتفكير وحل المشكلات والتعرف على الأنماط وفهم اللغة الطبيعية. يُستخدم الذكاء الاصطناعي في مجالات متعددة مثل الطب والتعليم والصناعة والنقل. أحدث تقنيات التعلم العميق ثورة في هذا المجال.,الذكاء الاصطناعي هو فرع من علوم الحاسوب يهدف إلى إنشاء أنظمة تحل مهام تتطلب ذكاءً بشرياً، مثل التعلم والتفكير وحل المشكلات والتعرف على الأنماط وفهم اللغة. يستخدم في مجالات متعددة كالطب والتعليم والصناعة والنقل. أحدث التقنيات المستخدمة هي تعلم العميق، التي قادت إلى ثورة في هذا المجال.,24.35,5,5,4,5,4
qwen2.5:3b,sum_02,Summarization,لخّص الفقرة التالية: تُعدّ مدينة القاهرة من أكبر المدن في أفريقيا والشرق الأوسط. تأسست منذ أكثر من ألف عام وتضم معالم تاريخية بارزة مثل الأهرامات وقلعة صلاح الدين. يبلغ عدد سكانها أكثر من عشرين مليون نسمة.,مدينة القاهرة تعد ثالث أكبر المدن في أفريقيا والشرق الأوسط، إذ تأسست منذ قرون عديدة وأصبحت محصنة بمعالم تاريخية مهمة مثل الأهرامات وقلعة صلاح الدين. وتصل سكانها إلى أكثر من 20 مليون نسمة اليوم.,14.34,5,4,4,5,4
qwen2.5:3b,sum_03,Summarization,لخّص في جملتين: التغير المناخي يمثل تهديداً حقيقياً للبشرية. ترتفع درجات الحرارة عالمياً بسبب انبعاثات الغازات الدفيئة. تتسبب هذه الظاهرة في ذوبان الجليد القطبي وارتفاع مستوى سطح البحر.,التغير المناخي يشكل خطراً جديداً على البشرية عبر ارتفاع درجات الحرارة العالمية، الذي ي Stemmer من خلال انبعاثات الغازات الدفيئة، مسببًا ذوبان الجليد القطبي وارتفاع مستوي سطح البحر.,13.48,5,3,3,5,4
qwen2.5:3b,sum_04,Summarization,اختصر هذا النص إلى نقطتين رئيسيتين: شهد العالم العربي حركة ترجمة واسعة في العصر العباسي. أسهم هذا في نهضة علمية شاملة. برز علماء عرب كابن سينا والخوارزمي وابن الهيثم.,"النص يمكن اختصاره إلى النقاط التالية:

1. في العصر العباسي، شهد العالم العربي حركة ترجمة كبيرة التي أسهمت في نهضة علمية شاملة عبر إعادة صياغة المعرفة القديمة.

2. برز علماء عرب كابن سينا والخوارزمي وابن الهيثم ليصبحوا أبرز علماء ذلك العصر وأسهموا في تقدم المعرفة العلمية.",21.25,5,5,4,5,4
qwen2.5:3b,sum_05,Summarization,لخّص هذه القصة: كان هناك صياد فقير يعيش على شاطئ البحر. في أحد الأيام وجد صندوقاً قديماً فيه خريطة لكنز. ذهب للجزيرة لكن اكتشف أن الكنز الحقيقي كان الشجاعة التي اكتسبها.,هذه القصة تدور حول رجل صياد فقير ي stumble على صندوق قديم محتوياتة به خريطة لكنز قد يكون موجوداً في جزيرة ما. بدلاً من البحث عن الكنز المادي، استعرض الرجل أهمية الشجاعة والكفاءة الشخصية ككنز حقيقي.,16.34,5,4,4,5,4
qwen2.5:3b,sum_06,Summarization,لخّص في جملة واحدة: رؤية 2030 السعودية تهدف إلى تنويع مصادر الدخل وتقليل الاعتماد على النفط وتطوير قطاعات السياحة والتكنولوجيا.,رؤية 2030 السعودية تستهدف تنويع مصادر الدخل وإنهاء الاعتماد على النفط، مع التركيز على قطاعي السياحة والتكنولوجيا كمحركين رئسيين للنمو الاقتصادي.,10.91,5,3,3,5,4
qwen2.5:3b,rc_01,Reading Comprehension,اقرأ النص وأجب: اخترع توماس أديسون المصباح الكهربائي عام 1879 بعد آلاف التجارب. قال أديسون: لم أفشل بل وجدت عشرة آلاف طريقة لا تعمل. السؤال: كم تجربة فاشلة أجراها أديسون تقريباً؟,"وفقًا للنص، يُشير التعبير ""لم أفشل بل وجدت عشرة آلاف طريقة لا تعمل"" إلى أن توماس أديسون قام بـ 10,000 تجربة فاشلة.

فبينما لم يحدد النص الدقة الدقيقة للتجارب الفاشلة، فإن استخدام عبارة ""ألف طريقة لا تعمل"" وصفًا تقريبًا لما سبقه من آلاف التجارب.",22.68,5,4,4,5,4
qwen2.5:3b,rc_02,Reading Comprehension,اقرأ وأجب: اللغة العربية يتحدثها أكثر من 400 مليون شخص وهي رسمية في 22 دولة. يُحتفل بيومها العالمي في 18 ديسمبر. السؤال: متى يُحتفل باليوم العالمي للغة العربية؟,يُحتفل باللغة العربية يوم 18 من شهر ديسمبر سنوياً.,6.73,4,3,2,5,3
qwen2.5:3b,rc_03,Reading Comprehension,اقرأ وأجب: الماء يغطي 71% من سطح الأرض. لا تتجاوز نسبة المياه العذبة 2.5% من إجمالي المياه. السؤال: ما نسبة المياه العذبة؟,"الماء الراكد في الأنهار والبحيرات والأحواض المائية يمثل حوالي 0.3% فقط من مجموع المياه العذبة على سطح الأرض. أما المياه الجوفية، والتي تتواجد تحت الرمل والحصى، فهي تمثل حوالي 0.8% من المياه العذبة.

بالرغم من أن نسبة مياه القمر المغلي إلى مجموع المياه الراهنة على سطح الأرض تبلغ حوالي 97.5%، فإن هذه المياه غير متاحة لنا كمصدر عذب للاستخدام البشري. 

لذلك، إذا تم جمع كل هذه المعلومات معًا، يمكننا القول أن نسبة المياه العذبة في العالم الأصلي (قبل الري والتنقيب عن المياه الجوفية) تتراوح بين 0.3% إلى 0.8% من مجموع المياه على سطح الأرض. ولكن إذا تم اعتبار المياه الموجودة تحت الرمال والحصى كجزء من ""المياه العذبة""، فيمكننا القول أن نسبة المياه العذبة تبلغ حوالي 1% تقريبًا من إجمالي المياه المتاحة على سطح الأرض. 

باختصار، مع الأخذ بعين الاعتبار جميع هذه العوامل، فإن نسبة المياه العذبة هي حوالي 2.5% فقط من إجمالي مجموع المياه الموجودة على سطح الأرض.",56.23,5,5,4,5,4
qwen2.5:3b,rc_04,Reading Comprehension,صح أو خطأ: أُطلق مسبار فويجر 1 عام 1977 وخرج من المجموعة الشمسية عام 2012. العبارة: خرج فويجر 1 من المجموعة الشمسية عام 1977.,"العبارة الخطأ هو ""أُطلق مسبار فويجر 1 عام 1977 وخرج من المجموعة الشمسية عام 2012"". الإعتراف الخاطئ هنا يكمن في إعطاء تاريخ خروج الفضائي من المجموعة الشمسية قبل تاريخ إطلاقه.

الصحيح هو أن الفويفور 1 أُطلق عام 1977، ولكن لم يستغرق مدة طويلة حتى خرج من المجموعة الشمسية، حيث أنه خرج من المجموعة الشمسية في عام 2012. 

لذا العبارة الصحيحة تكون: ""أُطلق مسبار فويجر 1 عام 1977، وخرج من المجموعة الشمسية عام 2012"".",32.62,5,5,4,5,4
qwen2.5:3b,rc_05,Reading Comprehension,استخرج الفكرة الرئيسية: يواجه التعليم عن بُعد تحديات في الدول النامية منها ضعف الإنترنت وعدم توفر الأجهزة، لكنه يوفر فرصاً للوصول إلى مصادر تعليمية عالمية.,الفكرة الرئيسية المExtracted هي أن التعليم عن بعد، رغم التحديات التي يواجهها في دول الناشئين مثل ضعف الإنترنت وعدم توفر الأجهزة، فهو لا يزال يقدم فرصًا للوصول إلى مصادر تعليمية عالمية.,13.15,5,3,4,5,4
qwen2.5:3b,lr_01,Logical Reasoning,إذا كان كل الأطباء درسوا في الجامعة، وأحمد طبيب، فهل درس أحمد في الجامعة؟ اشرح.,نعم، من المنطقي والصحيح أن أحمد، وهو طبيب، قد درس في الجامعة. هذا لأن معظم الأطباء يبدأون مسيرتهم المهنية بعد إكمال تعليمهم الجامعي الذي يتضمن الحصول على شهادة الطب وتدريب إضافي. فمعظم برامج تدريب الطبيبات والطواقم الطبية تتطلب أن يكون المتقدمين خريجي جامعة أو يمتلكوا درجة معادلة مناسبة، وهو ما يجعل وجودهم في الجامعة أمرًا معتادًا ومعتبر.,22.91,5,5,4,5,4
qwen2.5:3b,lr_02,Logical Reasoning,سارة أسرع من ليلى، وليلى أسرع من نور. رتّب المتسابقات من الأسرع إلى الأبطأ.,"حسب المعلومات المقدمة:

1. سارة أسرع من ليلى.
2. ليلى أسرع من نور.

إذا تمت ترجمة هذه الأقوال إلى متسابقين، فإن排序 من الأسرع إلى الأبطأ سيكون كالتالي:
سارة > ليلى > نور",12.55,5,5,4,5,4
qwen2.5:3b,lr_03,Logical Reasoning,لدي 3 صناديق بملصقات خاطئة: تفاح، برتقال، خليط. سحبت تفاحة من صندوق الخليط. ما المحتوى الحقيقي لكل صندوق؟,"عذرًا على الالتباس في الفكرة، ولكن معلوماتك غير كافية لتحديد المحتوى الحقيقي لكل صندوق بناءً على المعلومات القليلة التي لديك. 

في البداية، قلت أن هناك ثلاثة صناديق بملصقات خاطئة: تفاح، برتقال، خليط. ثم ذكرت أنك سحبت تفاحة من صندوق الخليط.

مع العلم بأن المحتوى الحقيقي لكل صندوق غير معروف لدينا، نحن لا يمكننا تحديد ما إذا كانت التماثلات الخاطئة هي ""تفاح"" في الصندوق الذي تحتوي على برتقال أو أن الصندوق كان بالفعل مليئًا فقط بالتفاح. 

بالتالي، بدون معلومات إضافية حول المحتوى الحقيقي لكل صندوق، لا يمكننا تحديد المحتوى الحقيقي لكل صندوق بناءً على المعلومات التي لديك.",29.35,5,5,4,5,4
qwen2.5:3b,lr_04,Logical Reasoning,أكمل النمط: 2، 6، 12، 20، ؟ واشرح القاعدة.,"النمط الذي تم تعيينه هو نمط يعتمد على عملية احتسابية معينة. سنحاول الكشف عن هذه العملية لكي نتمكّن من إكمال النمط.

دعنا نبدأ بالتحقق من ال Differences بين الأرقام consecutives في السلسلة:

2، 6، 12، 20، ...

1) الفارق بين 2 و6 هو: \(6-2=4\)
2) الفارق بين 6 و12 هو: \(12-6=6\)
3) الفارق بين 12 و20 هو: \(20-12=8\)

لاحظ أن الفروقات ترتفع بشكل مستمر بخطوة واحدة أكبر (4، 6، 8). 

هذا يشير إلى أنه يمكن القول إن كل فرق من الأرقام تساوي النتيجة السابقة +2. 

بناءً على هذا التفكير، فإن الفارق التالي سيكون \(8+2=10\).

لذلك، القيمة المطلوبة هي: \(20+10=30\)

فإذا كنا نتبع هذه القاعدة (الفرق بين الأرقام يزداد خطوة واحدة أكبر)، يكون العدد الذي يجب إكمال النمط به هو 30.",40.09,5,5,4,5,4
qwen2.5:3b,lr_05,Logical Reasoning,عمر أحمد ضعف عمر محمد. بعد 5 سنوات سيكون عمر أحمد 25 سنة. كم عمر محمد الآن؟,"سن الختام الذي ذكرته يؤكد أن عمر أحمد سين成长为 25 سنة في المستقبل بعد 5 سنوات، وهذا يعني أنه حالياً هو في سن 20 (25 - 5 = 20).

عندئذٌ، إذا كان عمر أحمد هو 20 سنة، وكان محمد أصغر منه بـ5 سنوات، فإن عمر محمد الحالي هو:

20 - 5 = 15 سنة.

فالأ年级 الآن هو 15 عاماً.",15.4,5,5,4,5,4
qwen2.5:3b,lr_06,Logical Reasoning,إذا كانت كل القطط حيوانات وبعض الحيوانات أليفة، فهل كل القطط أليفة؟ اشرح منطقياً.,"من خلال المنطق، يمكن تحليل هذه السؤال بشكل عكسي حتى نفهمه بشكل أفضل.

1) كل القطط حيوانات: إذا كانت هذه صحيحة، فإن لدينا مجموعة من الحيوانات التي تتضمن القطط.
2) بعض الحيوانات أليفة: هذا يعني أن هناك فئة معينة من الحيوانات التي تتميز بصفة الألفية.

إذا كان كل القطط حيوانات وبعض الحيوانات أليفة، فإننا نتحدث هنا عن مجموعة أكبر من القطط (حيوانات) من بينها بعض القطط (أليفة). 

وبالتالي، يمكننا القول أن القطط التي تتميز بالألفية هي جزء صغير من كل القطط. لكن هذا لا يعني بالضرورة أن جميع القطط أليفة، فهناك قطط ليست أليفة. 

إذًا، إذا كانت جميع القطط حيوانات وبعض الحيوانات أليفة، فإن هذا لا يؤكد في حد ذاته على أنه كل القطط أليفة. قد يكون البعض منها كذلك ولكن ليس الكل.",33.96,5,5,4,5,4
qwen2.5:3b,dia_01,Dialect Test,ترجم من المصرية للفصحى: إيه اللي خلاك تروح من غير ما تقولي؟,"هذه العبارة باللغة العربية الفصحى هي:

أين是你离开而不先告诉我呢？

إيه (Eih) هو تعجب أو سؤال في اللهجة المصرية، وهذا النوع من التعجب يستخدم للتعبير عن عدم فهم شيء ما.
تروح (Tartu'g) هو الأمر الماضي للمotion toward، وهو يشير إلى الطريقة التي قام بها الشخص ل离开.
ليس هناك مضيف معاني واضح في هذه العبارة، فهي تعبر عن غموض العلاقة أو الخلاف بين الأشخاص.",16.22,5,5,4,5,4
